Issue Type;Epic;Summary;Description;Priority;Labels;Assignee role
Epic;;EPIC 1 — Socle technique;Mettre en place la base technique exploitable du produit Vectura;Critique;mvp,infra,backend;Admin Système
Story;EPIC 1 — Socle technique;STORY 1.1 — Initialiser le projet;En tant qu'équipe projet nous avons besoin d'une base de code propre pour démarrer le développement;Critique;mvp,infra,backend,frontend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Créer le repository Git;Créer le dépôt principal et définir la structure initiale du projet;Critique;infra;Admin Système
Task;EPIC 1 — Socle technique;Définir la convention de branches;Définir main develop feature hotfix et règles de merge;Haute;infra,process;Admin Système
Task;EPIC 1 — Socle technique;Initialiser le frontend;Créer l'application frontend avec structure de base;Critique;frontend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Initialiser le backend;Créer l'API backend avec structure de base;Critique;backend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Ajouter TypeScript;Configurer TypeScript sur le frontend et le backend;Haute;frontend,backend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Créer la structure dossiers front et back;Organiser composants routes services modèles utilitaires et configuration;Haute;frontend,backend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Ajouter README technique initial;Documenter démarrage local architecture et conventions;Normale;documentation;Admin Système
Story;EPIC 1 — Socle technique;STORY 1.2 — Mettre en place Docker;En tant qu'équipe projet nous avons besoin d'environnements homogènes via conteneurs;Critique;mvp,infra;Admin Système
Task;EPIC 1 — Socle technique;Créer docker-compose.yml;Définir les services nécessaires au projet;Critique;infra,docker;Admin Système
Task;EPIC 1 — Socle technique;Ajouter service frontend;Conteneuriser l'application frontend;Critique;infra,docker,frontend;Admin Système
Task;EPIC 1 — Socle technique;Ajouter service backend;Conteneuriser l'API backend;Critique;infra,docker,backend;Admin Système
Task;EPIC 1 — Socle technique;Ajouter service PostgreSQL;Déployer la base PostgreSQL avec persistance;Critique;infra,database;Admin Système
Task;EPIC 1 — Socle technique;Ajouter service Redis;Déployer Redis pour cache files et tâches;Haute;infra,backend;Admin Système
Task;EPIC 1 — Socle technique;Ajouter volumes persistants;Persister base de données uploads et logs;Critique;infra,docker;Admin Système
Task;EPIC 1 — Socle technique;Ajouter réseau Docker interne;Isoler les services et organiser la communication interne;Haute;infra,docker;Admin Système
Task;EPIC 1 — Socle technique;Documenter commandes de démarrage;Lister les commandes utiles pour lancer et arrêter le projet;Normale;documentation;Admin Système
Story;EPIC 1 — Socle technique;STORY 1.3 — Préparer les environnements;En tant qu'équipe projet nous avons besoin d'une configuration claire par environnement;Critique;infra,security;Admin Système
Task;EPIC 1 — Socle technique;Créer .env.example;Lister toutes les variables nécessaires au projet;Critique;infra;Admin Système
Task;EPIC 1 — Socle technique;Définir variables frontend;Déclarer URL API mode debug et autres paramètres front;Haute;frontend,infra;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Définir variables backend;Déclarer port secrets services tiers et options serveur;Critique;backend,infra;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Définir variables DB;Déclarer hôte port nom base utilisateur mot de passe;Critique;database,infra;Admin Système
Task;EPIC 1 — Socle technique;Définir variables SMTP;Déclarer configuration du service mail;Haute;notifications,infra;Admin Système
Task;EPIC 1 — Socle technique;Définir variables stockage fichiers;Déclarer chemin ou bucket de stockage des documents;Critique;infra,security;Admin Système
Task;EPIC 1 — Socle technique;Définir variables JWT;Déclarer secrets et durées de session;Critique;backend,security;Développeur Full-Stack
Story;EPIC 1 — Socle technique;STORY 1.4 — Mettre en place la base de données;En tant que système Vectura nous avons besoin d'une base relationnelle fiable;Critique;backend,database;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Créer la connexion PostgreSQL;Configurer la connexion applicative à la base;Critique;database,backend;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Configurer ORM ou query builder;Choisir et intégrer l'outil d'accès aux données;Haute;backend,database;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Créer système de migrations;Permettre l'évolution contrôlée du schéma de base;Critique;backend,database;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Créer seed de base;Préparer des données de test minimales;Normale;backend,database;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Tester le démarrage local;Vérifier que la base démarre correctement avec l'application;Haute;backend,infra;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Documenter reset DB;Décrire la procédure de remise à zéro en dev;Normale;documentation,database;Admin Système
Story;EPIC 1 — Socle technique;STORY 1.5 — Mettre en place CI CD;En tant qu'équipe projet nous avons besoin d'automatiser qualité et déploiement;Haute;infra,quality;Admin Système
Task;EPIC 1 — Socle technique;Configurer lint frontend;Automatiser le contrôle qualité du code frontend;Haute;frontend,quality;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Configurer lint backend;Automatiser le contrôle qualité du code backend;Haute;backend,quality;Développeur Full-Stack
Task;EPIC 1 — Socle technique;Configurer pipeline test;Lancer automatiquement les tests sur chaque push;Haute;infra,quality;Admin Système
Task;EPIC 1 — Socle technique;Configurer pipeline build;Vérifier la construction des artefacts applicatifs;Haute;infra;Admin Système
Task;EPIC 1 — Socle technique;Configurer pipeline staging;Déployer automatiquement en préproduction;Haute;infra,deploy;Admin Système
Task;EPIC 1 — Socle technique;Préparer stratégie de déploiement production;Définir le mode de déploiement et la validation;Critique;infra,deploy;Admin Système
Task;EPIC 1 — Socle technique;Prévoir rollback minimal;Permettre un retour arrière rapide en cas d'incident;Critique;infra,deploy;Admin Système
;;;;;;
Epic;;EPIC 2 — Landing page publique;Créer la vitrine publique de Vectura pour convertir chauffeurs et entreprises;Haute;mvp,frontend,ux;UI/UX Designer
Story;EPIC 2 — Landing page publique;STORY 2.1 — Concevoir l'arborescence publique;En tant que visiteur je comprends rapidement l'offre et les actions disponibles;Haute;ux,frontend;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir sections landing;Structurer hero bénéfices fonctionnement preuves et footer;Haute;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir hiérarchie des CTA;Mettre en avant chauffeur et entreprise avec priorités visuelles;Haute;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir messages de réassurance;Préparer arguments confiance conformité et simplicité;Haute;ux,content;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir parcours mobile first;Prévoir une navigation efficace sur smartphone;Haute;ux,mobile;UI/UX Designer
Story;EPIC 2 — Landing page publique;STORY 2.2 — Produire les wireframes landing;En tant qu'équipe projet nous avons besoin d'une base UX avant la maquette finale;Haute;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe hero section;Dessiner la zone d'entrée principale avec CTA;Haute;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe bloc bénéfices chauffeur;Présenter l'intérêt du service pour les chauffeurs;Normale;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe bloc bénéfices entreprise;Présenter l'intérêt du service pour les entreprises;Normale;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe bloc fonctionnement;Illustrer le cycle inscription mission validation;Normale;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe footer légal;Prévoir liens vers mentions et confidentialité;Normale;ux;UI/UX Designer
Task;EPIC 2 — Landing page publique;Wireframe version mobile;Adapter le parcours et les sections à petit écran;Haute;ux,mobile;UI/UX Designer
Story;EPIC 2 — Landing page publique;STORY 2.3 — Produire la maquette UI;En tant qu'équipe projet nous avons besoin d'un design system visuel cohérent;Haute;ux,ui;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir palette CTA chauffeur;Choisir une couleur vive et cohérente;Normale;ui;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir palette CTA entreprise;Choisir une couleur sobre et professionnelle;Normale;ui;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir typographie;Choisir la hiérarchie visuelle des textes;Normale;ui;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir composants landing;Créer boutons cartes sections et footer;Normale;ui,design-system;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir style cartes et boutons;Spécifier états et variantes visuelles;Normale;ui;UI/UX Designer
Task;EPIC 2 — Landing page publique;Définir états hover focus;Spécifier les interactions utilisateur;Normale;ui,accessibility;UI/UX Designer
Story;EPIC 2 — Landing page publique;STORY 2.4 — Développer la landing;En tant que visiteur je peux accéder à une page publique claire et responsive;Haute;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Intégrer header;Développer l'en-tête public avec navigation;Haute;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Intégrer hero et doubles CTA;Développer la section d'accroche principale;Haute;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Intégrer sections réassurance;Développer les preuves de confiance et bénéfices;Normale;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Intégrer bloc fonctionnement;Développer la section explicative du service;Normale;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Intégrer footer;Développer le pied de page avec liens utiles;Normale;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Rendre la page responsive;Adapter la page mobile tablette desktop;Critique;frontend,mobile;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Optimiser performances mobile;Réduire poids et améliorer vitesse d'affichage;Normale;frontend,performance;Développeur Full-Stack
Story;EPIC 2 — Landing page publique;STORY 2.5 — Prévoir acquisition;En tant que porteur du projet je peux capter des inscrits depuis les supports marketing;Normale;frontend,marketing;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Ajouter emplacement QR code;Prévoir un bloc dédié pour les flyers;Normale;frontend,marketing;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Créer bouton vers inscription chauffeur;Relier le CTA chauffeur à son parcours;Critique;frontend;Développeur Full-Stack
Task;EPIC 2 — Landing page publique;Créer bouton vers espace entreprise;Relier le CTA entreprise à son parcours;Critique;frontend;Développeur Full-Stack
